The 2500 is for the radiant dye and the 3098 is for Thorlabs black.
x_peak: 2494, y_peak: 2049, x0: 2494.0, y0: 2049.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1970, x0: 3094.0, y0: 1970.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2051, x0: 2501.0, y0: 2051.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1972, x0: 3094.0, y0: 1972.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2491, y_peak: 2048, x0: 2491.0, y0: 2048.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1989, x0: 3104.0, y0: 1989.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2489, y_peak: 2053, x0: 2489.0, y0: 2053.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3105, y_peak: 1986, x0: 3105.0, y0: 1986.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2053, x0: 2502.0, y0: 2053.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3103, y_peak: 1979, x0: 3103.0, y0: 1979.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2052, x0: 2502.0, y0: 2052.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3111, y_peak: 1979, x0: 3111.0, y0: 1979.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2056, x0: 2497.0, y0: 2056.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3096, y_peak: 1985, x0: 3096.0, y0: 1985.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2053, x0: 2497.0, y0: 2053.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3107, y_peak: 1983, x0: 3107.0, y0: 1983.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2503, y_peak: 2053, x0: 2503.0, y0: 2053.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1984, x0: 3099.0, y0: 1984.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2494, y_peak: 2051, x0: 2494.0, y0: 2051.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3103, y_peak: 1979, x0: 3103.0, y0: 1979.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2508, y_peak: 2054, x0: 2508.0, y0: 2054.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3100, y_peak: 1982, x0: 3100.0, y0: 1982.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
